ListingID,City,PropertyType,Bedrooms,Bathrooms,Area_sqft,YearBuilt,ListingPrice,SalePrice,Status
1,Chennai,Apartment,2,2,950,2015,4500000,4400000,Sold
2,Chennai,Villa,3,3,1800,2018,8500000,8300000,Sold
3,Bangalore,Apartment,2,2,1100,2016,6000000,5900000,Sold
4,Hyderabad,Villa,4,4,2500,2020,12000000,11800000,Sold
5,Pune,Apartment,1,1,650,2014,3000000,2900000,Sold
6,Chennai,Apartment,3,2,1200,2017,7000000,6800000,Sold
7,Bangalore,Villa,3,3,2000,2019,9500000,9200000,Sold
8,Hyderabad,Apartment,2,2,1000,2015,5000000,4900000,Sold
9,Pune,Villa,4,4,2600,2021,13000000,12800000,Sold
10,Chennai,Apartment,2,1,900,2013,4200000,4100000,Sold
11,Bangalore,Apartment,3,2,1300,2016,7200000,7000000,Sold
12,Hyderabad,Villa,5,5,3000,2022,15000000,14800000,Sold
13,Pune,Apartment,2,2,1050,2018,5500000,5400000,Sold
14,Chennai,Villa,3,3,1900,2019,8800000,8600000,Sold
15,Bangalore,Apartment,1,1,700,2014,3500000,3400000,Sold
16,Hyderabad,Apartment,3,2,1250,2017,6500000,6400000,Sold
17,Pune,Villa,4,3,2400,2020,11000000,10800000,Sold
18,Chennai,Apartment,2,2,1000,2016,4800000,4700000,Sold
19,Bangalore,Villa,3,3,2100,2021,9700000,9500000,Sold
20,Hyderabad,Apartment,1,1,600,2013,2800000,2700000,Sold
21,Pune,Apartment,3,2,1350,2018,7500000,7300000,Sold
22,Chennai,Villa,4,4,2600,2022,13500000,13200000,Sold
23,Bangalore,Apartment,2,2,1100,2017,6200000,6100000,Sold
24,Hyderabad,Villa,3,3,2000,2019,9000000,8800000,Sold
25,Pune,Apartment,2,1,900,2015,4000000,3900000,Sold
26,Chennai,Apartment,3,2,1250,2018,7200000,7000000,Sold
27,Bangalore,Villa,5,4,3000,2022,15500000,15000000,Sold
28,Hyderabad,Apartment,2,2,1050,2016,5100000,5000000,Sold
29,Pune,Villa,3,3,2200,2020,9800000,9600000,Sold
30,Chennai,Apartment,1,1,650,2014,3000000,2900000,Sold
31,Bangalore,Apartment,2,2,1150,2017,6300000,6200000,Sold
32,Hyderabad,Villa,4,4,2700,2021,14000000,13800000,Sold
33,Pune,Apartment,3,2,1400,2019,7800000,7600000,Sold
34,Chennai,Villa,3,3,2000,2018,9000000,8800000,Sold
35,Bangalore,Apartment,1,1,700,2015,3600000,3500000,Sold
36,Hyderabad,Apartment,2,2,1000,2016,5200000,5100000,Sold
37,Pune,Villa,4,3,2500,2022,12000000,11800000,Sold
38,Chennai,Apartment,2,2,950,2017,4600000,4500000,Sold
39,Bangalore,Villa,3,3,2100,2020,9800000,9600000,Sold
40,Hyderabad,Apartment,1,1,600,2014,2900000,2800000,Sold
